id;nama
1;    Pemerintah Kota Probolinggo
2;    Dinas Komunikasi dan Informatika
3;    Bagian Umum
4;    Bagian Pemerintah
5;    Bagian Adm. Perekonomian
6;    Bagian Hukum
7;    Bagian Kesejahteraan Rakyat
8;    Bagian Organisasi
9;    Bagian Adm. Pembangunan
10;    Badan Pendapatan, Pengelolaan Keuangan dan Aset Daerah
11;    Badan Perencanaan Pembangunan Daerah, Penelitian dan Pengembangan
12;    Badan Penanggulangan Bencana Daerah
13;    Badan Kepegawaian dan Pengembangan SDM
14;    Badan Kesatuan Bangsa dan Politik
15;    Dinas Kependudukan dan Pencatatan Sipil
16;    Dinas Pertanian, Ketahanan Pangan dan Perikanan
17;    Dinas Tenaga Kerja
18;    Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana
19;    Dinas Koperasi, Usaha Mikro, Perdagangan dan Perindustrian
20;    Dinas Perhubungan
21;    Dinas Lingkungan Hidup
22;    Dinas Penanaman Modal dan PTSP
23;    Dinas Kebudayaan dan Pariwisata
24;    Dinas Sosial, Pemberdayaan Perempuan dan Perlindungan Anak
25;    Dinas Komunikasi dan Informatika
26;    Dinas Perpustakaan dan Kearsipan
27;    Dinas Pendidikan, Pemuda dan Olahraga
28;    Dinas Pekerjaan Umum dan Penataan Ruang
29;    Dinas Perumahan dan Permukiman
30;    Kecamatan Mayangan
31;    Kecamatan Wonoasih
32;    Kecamatan Kademangan
33;    Kecamatan Kedopok
34;    Kecamatan Kanigaran
35;    Sekretariat Dewan
36;    RSUD dr. Moch. Saleh
37;    Inspektorat
38;    Satuan Polisi Pamong Praja
39;    Dinas Penanaman Modal, Pelayanan Terpadu Satu Pintu dan Tenaga Kerja
40;    Bagian Pengadaan Barang dan Jasa
41;    Bagian Keuangan dan Sarana Prasarana
42;    Sekretariat KPUD
43;    Dinas Kepemudaan, Olahraga dan Pariwisata
44;    Bagian Perekonomian dan Pembangunan
45;    Dinas PU, PR & PERKIM
46;    Dinas Kependudukan & Capil
